num_convex_hull_points,num_convexity_defects,bounding_box_width,bounding_box_height,aspect_ratio,contour_area,contour_perimeter,label
18,12,206,405,0.508642,25295.5,1678.52,gesture_name
18,12,208,404,0.514851,25375,1754.08,gesture_name
16,10,207,401,0.516209,24521,1668.14,gesture_name
15,9,198,395,0.501266,24230.5,1703.55,gesture_name
17,11,192,393,0.48855,23419.5,1573.47,gesture_name
16,11,192,392,0.489796,23341.5,1569.61,gesture_name
18,12,191,395,0.483544,23339.5,1516.78,gesture_name
20,13,191,397,0.481108,23374.5,1528.09,gesture_name
18,12,192,397,0.483627,23493.5,1538.09,gesture_name
19,13,192,396,0.484848,23614.5,1538.92,gesture_name
16,12,190,395,0.481013,23395.5,1522.09,gesture_name
20,13,185,394,0.469543,23154.5,1508.09,gesture_name
16,10,178,395,0.450633,23426.5,1594.24,gesture_name
22,16,161,393,0.409669,24140.5,1364.96,gesture_name
22,16,141,389,0.362468,23177.5,1315.16,gesture_name
21,14,130,374,0.347594,20441,1454.92,gesture_name
22,16,131,346,0.378613,19043,1259.6,gesture_name
26,20,152,313,0.485623,19288.5,1168.19,gesture_name
22,15,175,315,0.555556,19638.5,1205.93,gesture_name
20,16,217,324,0.669753,21403.5,1419.12,gesture_name
18,12,225,325,0.692308,21951,1524.08,gesture_name
20,14,234,322,0.726708,21890,1542.85,gesture_name
17,12,240,320,0.75,21883,1552.79,gesture_name
19,15,243,322,0.754658,21983,1591.9,gesture_name
19,15,243,325,0.747692,22081,1593.56,gesture_name
21,15,243,328,0.740854,22198,1592.73,gesture_name
21,16,243,330,0.736364,22196.5,1598.97,gesture_name
18,12,242,331,0.731118,22375.5,1564.34,gesture_name
20,15,242,334,0.724551,22617.5,1578.49,gesture_name
17,14,239,336,0.71131,23003,1581.07,gesture_name
18,10,236,340,0.694118,23516,1594.04,gesture_name
19,13,228,343,0.664723,23689,1598.87,gesture_name
16,11,229,347,0.659942,24394.5,1528,gesture_name
18,12,234,348,0.672414,25661.5,1533.17,gesture_name
20,14,246,348,0.706897,27011.5,1546.14,gesture_name
19,13,255,347,0.73487,27785.5,1561.6,gesture_name
19,15,257,345,0.744928,27410,1595.78,gesture_name
19,12,255,342,0.745614,27043,1577.78,gesture_name
22,17,253,340,0.744118,26759.5,1562.08,gesture_name
18,13,252,337,0.747774,26452,1550.18,gesture_name
20,14,251,334,0.751497,26317.5,1542.77,gesture_name
21,13,253,332,0.762048,26431.5,1544.43,gesture_name
22,16,256,329,0.778116,26564,1543.84,gesture_name
20,13,258,325,0.793846,26559.5,1542.57,gesture_name
22,15,261,322,0.810559,26429.5,1539.6,gesture_name
21,14,259,322,0.804348,26346,1535.01,gesture_name
21,15,256,324,0.790123,26148,1520.87,gesture_name
20,13,253,324,0.780864,26033.5,1509.66,gesture_name
20,13,251,326,0.769939,26097,1505.42,gesture_name
19,13,252,327,0.770642,26147.5,1510,gesture_name
20,14,251,325,0.772308,26046.5,1530.49,gesture_name
18,13,247,318,0.77673,25460,1489.27,gesture_name
21,14,242,312,0.775641,24451.5,1450.29,gesture_name
20,15,244,306,0.797386,22858.5,1157.41,gesture_name
24,18,246,303,0.811881,16721.5,942.957,gesture_name
31,25,260,300,0.866667,17561.5,922.555,gesture_name
30,23,276,300,0.92,21548.5,955.041,gesture_name
24,18,289,300,0.963333,25943.5,1045.95,gesture_name
29,22,300,300,1,30148,1196.91,gesture_name
28,22,312,303,1.0297,35145.5,1360.14,gesture_name
30,23,328,306,1.0719,38267.5,1556.88,gesture_name
31,24,338,307,1.10098,39770,1651.83,gesture_name
27,20,340,311,1.09325,40958.5,1722.56,gesture_name
23,17,338,315,1.07302,41704.5,1872.99,gesture_name
23,16,330,318,1.03774,40730,1887.35,gesture_name
23,17,322,320,1.00625,38783,1894.12,gesture_name
21,14,313,325,0.963077,37669,1887.35,gesture_name
20,13,304,333,0.912913,36837.5,1804.82,gesture_name
19,14,295,340,0.867647,34608,1639.84,gesture_name
