numHullPoints,numDefects,bbox_width,bbox_height,aspect_ratio,area,perimeter,gesture_label
6,5,469,480,0.977083,146396,3119.25,labelOne.csv
8,6,473,480,0.985417,156196,2885.34,labelOne.csv
8,7,528,480,1.1,175698,3514.64,labelOne.csv
5,4,640,480,1.33333,207801,4741.35,labelOne.csv
5,3,640,480,1.33333,224911,4123.19,labelOne.csv
6,4,640,480,1.33333,225857,4269.62,labelOne.csv
6,4,640,480,1.33333,225288,4443.2,labelOne.csv
5,3,640,480,1.33333,222843,4079.6,labelOne.csv
7,5,479,480,0.997917,157552,3151.35,labelOne.csv
7,5,427,480,0.889583,138762,2711.68,labelOne.csv
6,4,424,480,0.883333,116222,3974.23,labelOne.csv
11,7,420,295,1.42373,68924.5,2564.77,labelOne.csv
12,8,381,295,1.29153,62960,2737.78,labelOne.csv
12,8,281,184,1.52717,24650,1373.46,labelOne.csv
13,8,281,184,1.52717,23946.5,1459.5,labelOne.csv
15,12,280,184,1.52174,23736.5,1465.84,labelOne.csv
18,14,280,184,1.52174,22081,1334.15,labelOne.csv
17,14,280,184,1.52174,21848.5,1333.56,labelOne.csv
18,13,280,184,1.52174,21189,1061.01,labelOne.csv
14,11,280,184,1.52174,23624,1470.92,labelOne.csv
12,8,281,184,1.52717,24037,1452.77,labelOne.csv
12,8,281,184,1.52717,24659,1376.29,labelOne.csv
13,10,281,185,1.51892,25150.5,1497.58,labelOne.csv
18,14,379,294,1.28912,48742.5,2912.02,labelOne.csv
17,14,379,294,1.28912,59312,2722.01,labelOne.csv
13,8,378,295,1.28136,65914.5,2397.98,labelOne.csv
12,7,378,295,1.28136,69338.5,2273.75,labelOne.csv
13,8,378,295,1.28136,70221.5,2359.35,labelOne.csv
15,10,378,295,1.28136,70481,2404.76,labelOne.csv
14,10,379,295,1.28475,71664,2230.74,labelOne.csv
15,10,379,295,1.28475,69662,2353.79,labelOne.csv
11,6,378,295,1.28136,69901,2376.62,labelOne.csv
12,7,378,295,1.28136,69491.5,2375.69,labelOne.csv
13,8,378,295,1.28136,69614.5,2359.21,labelOne.csv
13,8,378,295,1.28136,69606,2311.65,labelOne.csv
14,9,377,295,1.27797,68697,2352.76,labelOne.csv
12,7,376,295,1.27458,68637,2347.65,labelOne.csv
12,8,377,295,1.27797,68483,2425.73,labelOne.csv
13,8,377,295,1.27797,68685.5,2352.18,labelOne.csv
12,7,377,295,1.27797,68684,2423.05,labelOne.csv
12,7,376,295,1.27458,67200,2481.33,labelOne.csv
14,9,376,295,1.27458,65891.5,2479.78,labelOne.csv
14,9,376,294,1.27891,64117,2554.79,labelOne.csv
20,17,376,294,1.27891,58052,2549.21,labelOne.csv
17,12,376,294,1.27891,57986,2713.38,labelOne.csv
21,16,378,294,1.28571,58414.5,2527.31,labelOne.csv
15,12,378,294,1.28571,58613,2475.07,labelOne.csv
17,12,380,294,1.29252,59456,2673.87,labelOne.csv
17,13,400,294,1.36054,64641.5,3114.64,labelOne.csv
17,14,415,294,1.41156,66046.5,3036.02,labelOne.csv
18,15,419,294,1.42517,65479.5,3259.35,labelOne.csv
16,11,422,294,1.43537,65486,3214.06,labelOne.csv
17,15,423,294,1.43878,65308.5,3229.61,labelOne.csv
16,11,423,294,1.43878,65345.5,3199.81,labelOne.csv
16,14,424,294,1.44218,65639,3342.71,labelOne.csv
18,15,423,294,1.43878,66626.5,3093.25,labelOne.csv
17,12,212,280,0.757143,27603.5,1334.76,labelOne.csv
13,10,281,185,1.51892,24699,1373.46,labelOne.csv
12,9,281,184,1.52717,24877.5,1483.1,labelOne.csv
15,11,280,184,1.52174,23662.5,1455.02,labelOne.csv
14,11,280,184,1.52174,23630.5,1463.5,labelOne.csv
14,11,280,184,1.52174,23695.5,1456.67,labelOne.csv
15,10,281,184,1.52717,23944,1454.43,labelOne.csv
13,9,281,184,1.52717,23936.5,1454.33,labelOne.csv
15,11,281,184,1.52717,23916.5,1457.02,labelOne.csv
14,10,281,184,1.52717,23902.5,1459.5,labelOne.csv
16,12,281,184,1.52717,23927,1455.6,labelOne.csv
15,10,281,184,1.52717,23941,1456.92,labelOne.csv
14,10,281,184,1.52717,23949.5,1462.82,labelOne.csv
15,11,281,184,1.52717,24035.5,1455.5,labelOne.csv
12,8,281,184,1.52717,24039.5,1443.02,labelOne.csv
14,10,281,184,1.52717,24145,1406.29,labelOne.csv
12,8,281,184,1.52717,24139,1387.8,labelOne.csv
14,10,281,184,1.52717,24166,1398.63,labelOne.csv
14,9,281,184,1.52717,24099,1421.46,labelOne.csv
12,8,281,184,1.52717,24061.5,1437.7,labelOne.csv
16,11,281,184,1.52717,24038,1440.43,labelOne.csv
12,8,281,184,1.52717,24016,1446.29,labelOne.csv
12,8,281,184,1.52717,24012,1443.6,labelOne.csv
15,11,281,184,1.52717,24057,1445.12,labelOne.csv
13,8,281,184,1.52717,24024,1446.09,labelOne.csv
12,8,281,184,1.52717,24760.5,1368.53,labelOne.csv
16,13,372,294,1.26531,57441.5,3000.76,labelOne.csv
12,7,372,295,1.26102,67026,2682.44,labelOne.csv
12,7,371,295,1.25763,67831,2693.27,labelOne.csv
12,7,371,295,1.25763,70706.5,2634.2,labelOne.csv
13,8,371,296,1.25338,73775,2506.85,labelOne.csv
11,8,370,296,1.25,75811,2471.19,labelOne.csv
7,6,370,480,0.770833,114042,4085.83,labelOne.csv
10,8,371,480,0.772917,117722,3975.12,labelOne.csv
9,7,388,480,0.808333,124810,4074.17,labelOne.csv
9,7,385,480,0.802083,125072,3706.47,labelOne.csv
9,7,382,480,0.795833,124701,3836.45,labelOne.csv
10,8,371,480,0.772917,119780,3877.08,labelOne.csv
11,8,370,296,1.25,76424.5,2378.52,labelOne.csv
11,7,370,296,1.25,74832,2339.99,labelOne.csv
11,7,370,296,1.25,73666,2458.42,labelOne.csv
12,8,370,296,1.25,72737.5,2497.63,labelOne.csv
12,7,370,295,1.25424,71515,2501.19,labelOne.csv
10,6,369,295,1.25085,70774,2503.73,labelOne.csv
14,9,370,295,1.25424,70718.5,2598.4,labelOne.csv
14,9,370,295,1.25424,70874,2454.28,labelOne.csv
13,8,370,295,1.25424,70715.5,2491.01,labelOne.csv
11,7,369,295,1.25085,70947,2506.36,labelOne.csv
11,6,369,295,1.25085,70916,2567.19,labelOne.csv
12,7,370,295,1.25424,71157,2516.36,labelOne.csv
11,6,421,295,1.42712,71217.5,2627.6,labelOne.csv
12,8,423,295,1.4339,70915.5,2533.46,labelOne.csv
12,8,423,295,1.4339,70301.5,2432.06,labelOne.csv
12,8,424,295,1.43729,70235.5,2637.06,labelOne.csv
12,9,424,295,1.43729,69943,2609.98,labelOne.csv
11,7,423,295,1.4339,69960,2578.18,labelOne.csv
11,7,423,295,1.4339,69681.5,2547.31,labelOne.csv
11,7,423,295,1.4339,69994,2514.73,labelOne.csv
11,7,423,295,1.4339,69956,2552.39,labelOne.csv
11,7,423,295,1.4339,69872,2535.56,labelOne.csv
9,6,422,296,1.42568,70982,2667.64,labelOne.csv
10,6,367,295,1.24407,70664,2576.65,labelOne.csv
11,6,366,295,1.24068,70468,2494.22,labelOne.csv
11,6,367,296,1.23986,70820,2493.59,labelOne.csv
11,6,366,295,1.24068,70484,2456.62,labelOne.csv
10,5,367,295,1.24407,70473.5,2572.6,labelOne.csv
10,6,364,295,1.2339,70491.5,2573.29,labelOne.csv
12,7,363,295,1.23051,70183,2531.39,labelOne.csv
12,7,361,296,1.21959,70084.5,2682.14,labelOne.csv
13,8,358,295,1.21356,70026.5,2470.72,labelOne.csv
14,9,356,295,1.20678,69718,2536.02,labelOne.csv
13,8,355,295,1.20339,69526,2517.59,labelOne.csv
11,6,354,295,1.2,69368.5,2485.83,labelOne.csv
12,8,355,296,1.19932,69502.5,2475.83,labelOne.csv
11,6,356,295,1.20678,69532.5,2418.58,labelOne.csv
12,7,356,295,1.20678,69601,2373.37,labelOne.csv
13,8,356,295,1.20678,69774.5,2450.38,labelOne.csv
13,8,357,295,1.21017,69644.5,2482.52,labelOne.csv
14,9,358,295,1.21356,69858.5,2367.61,labelOne.csv
11,7,358,295,1.21356,70479,2508.76,labelOne.csv
13,8,371,295,1.25763,70445,2453.45,labelOne.csv
11,8,368,295,1.24746,69605.5,2555.37,labelOne.csv
11,8,365,296,1.23311,69146.5,2461.98,labelOne.csv
11,6,365,295,1.23729,69195,2448.08,labelOne.csv
13,8,367,295,1.24407,69108,2506.22,labelOne.csv
14,9,367,296,1.23986,69325.5,2236.15,labelOne.csv
15,10,367,295,1.24407,69190,2326.14,labelOne.csv
14,9,368,295,1.24746,69381.5,2329.41,labelOne.csv
17,12,368,296,1.24324,69502,2351.17,labelOne.csv
13,8,369,295,1.25085,69625.5,2401.01,labelOne.csv
15,10,374,296,1.26351,69985.5,2550.55,labelOne.csv
12,8,423,295,1.4339,70930.5,2492.2,labelOne.csv
12,8,423,295,1.4339,70911,2608.81,labelOne.csv
11,7,423,295,1.4339,70406.5,2625.26,labelOne.csv
14,9,378,296,1.27703,69982,2404.08,labelOne.csv
13,8,376,295,1.27458,70061.5,2475.29,labelOne.csv
14,11,377,296,1.27365,70160.5,2387.83,labelOne.csv
16,11,379,295,1.28475,70384,2332.82,labelOne.csv
11,7,421,295,1.42712,70604.5,2626.77,labelOne.csv
12,7,421,295,1.42712,70996.5,2428.4,labelOne.csv
11,7,421,295,1.42712,70890,2554.39,labelOne.csv
10,6,420,295,1.42373,71356.5,2605.8,labelOne.csv
14,10,378,296,1.27703,72292,2417.65,labelOne.csv
15,11,363,295,1.23051,74726.5,2317.75,labelOne.csv
22,17,327,295,1.10847,74730,2185.91,labelOne.csv
16,11,279,295,0.945763,69116,1514.52,labelOne.csv
14,9,242,296,0.817568,53985,1339.27,labelOne.csv
8,4,205,295,0.694915,43033,1368.58,labelOne.csv
8,3,172,287,0.599303,35293.5,1262,labelOne.csv
13,9,282,186,1.51613,33512.5,1330.45,labelOne.csv
14,10,282,187,1.50802,33309,1343.18,labelOne.csv
14,10,282,187,1.50802,33266.5,1358.59,labelOne.csv
13,9,282,187,1.50802,33318.5,1350.93,labelOne.csv
13,9,282,187,1.50802,33365.5,1358.25,labelOne.csv
14,10,282,187,1.50802,33278.5,1360.25,labelOne.csv
14,10,282,187,1.50802,33386,1338.69,labelOne.csv
13,8,250,285,0.877193,40364,2038.82,labelOne.csv
8,5,390,285,1.36842,48245,2195.99,labelOne.csv
11,8,329,285,1.15439,47846.5,2372.26,labelOne.csv
13,10,340,284,1.19718,48524.5,2665.97,labelOne.csv
9,8,334,285,1.17193,48121,2543.84,labelOne.csv
11,8,333,284,1.17254,48567,2552.81,labelOne.csv
14,9,330,285,1.15789,48217.5,2537.6,labelOne.csv
11,7,336,284,1.1831,48566.5,2596.23,labelOne.csv
15,11,340,285,1.19298,48348,2667.38,labelOne.csv
11,9,340,285,1.19298,48896.5,2822.33,labelOne.csv
12,8,340,285,1.19298,49069.5,2492.97,labelOne.csv
10,6,344,284,1.21127,49932.5,2661.14,labelOne.csv
13,9,367,285,1.28772,50335.5,2547.94,labelOne.csv
7,6,471,480,0.98125,148893,3229,labelOne.csv
6,5,471,480,0.98125,149050,3131.3,labelOne.csv
7,6,471,480,0.98125,144440,3576.02,labelOne.csv
8,6,523,480,1.08958,163142,3478.68,labelOne.csv
10,8,485,480,1.01042,159464,2923.68,labelOne.csv
8,8,489,480,1.01875,158960,2900.17,labelOne.csv
8,7,492,480,1.025,161046,3293.97,labelOne.csv
11,9,496,480,1.03333,160594,3182.23,labelOne.csv
9,7,491,480,1.02292,159821,3179.69,labelOne.csv
9,6,491,480,1.02292,156214,4153.41,labelOne.csv
8,6,491,480,1.02292,149844,4758.18,labelOne.csv
8,7,482,480,1.00417,146831,4137.35,labelOne.csv
9,6,483,480,1.00625,144329,4293.03,labelOne.csv
8,6,487,480,1.01458,146014,4192.99,labelOne.csv
8,6,485,480,1.01042,147516,3931.87,labelOne.csv
9,7,493,480,1.02708,148976,4474.43,labelOne.csv
